Name,Lon,Lat,Team,Date & Time,Hgt,Corrected,Flown
HEAL_004,-149.1122602,63.89205312,OtherTeams_2019,,508.2,Yes,Old
HEAL_005,-149.1316955,63.89148192,OtherTeams_2019,,522.941,Yes,Old
HEAL_006,-149.1322406,63.89088258,OtherTeams_2019,,524.364,Yes,Old
HEAL_007,-149.2116748,63.88165048,OtherTeams_2019,,660.1156933,no,Old
HEAL_008,-149.2257026,63.87766025,OtherTeams_2019,,704.0844644,no,Old
HEAL_009,-149.2370817,63.87741271,OtherTeams_2019,,677.7816452,no,Old
HEAL_010,-149.2385878,63.87861387,OtherTeams_2019,,661.268,Yes,Old
HEAL_011,-149.238725,63.87936699,OtherTeams_2019,,660.403,Yes,Old
HEAL_012,-149.2641119,63.88425462,OtherTeams_2019,,663.474,Yes,Old
HEAL_013,-149.2662379,63.88474938,OtherTeams_2019,,661.34,Yes,Old
HEAL_014,-149.1123605,63.8913913,OtherTeams_2019,,509.332,Yes,Old
HEAL_015,-149.2596623,63.87810443,OtherTeams_2019,,684.9847066,no,Old
INUV_001,-133.5330967,68.31859937,OtherTeams_2019,,92.343,Yes,Old
INUV_002,-133.532225,68.31846398,OtherTeams_2019,,92.56,Yes,Old
INUV_003,-133.5332848,68.3191319,OtherTeams_2019,,92.578,Yes,Old
INUV_004,-133.5343416,68.31938796,OtherTeams_2019,,92.1,Yes,Old
INUV_005,-133.5265631,68.31817585,OtherTeams_2019,,88.757,Yes,Old
INUV_006,-133.5263597,68.31852772,OtherTeams_2019,,91.964,Yes,Old
INUV_007,-133.5272969,68.31866296,OtherTeams_2019,,96.199,Yes,Old
INUV_008,-133.5264612,68.3186828,OtherTeams_2019,,94.637,Yes,Old
INUV_009,-133.5974927,68.64115984,OtherTeams_2019,,80.751,Yes,Old
INUV_010,-133.5957848,68.64110741,OtherTeams_2019,,79.009,Yes,Old
INUV_011,-133.6009172,68.64151751,OtherTeams_2019,,82.025,Yes,Old
INUV_012,-133.5402932,68.7050903,OtherTeams_2019,,113.512,Yes,Old
INUV_013,-133.5388319,68.70486227,OtherTeams_2019,,109.693,Yes,Old
INUV_014,-133.5357398,68.31901233,OtherTeams_2019,,92.409,Yes,Old
INUV_015,-133.5378997,68.31992765,OtherTeams_2019,,91.86,Yes,Old
INUV_016,-133.5375611,68.32027566,OtherTeams_2019,,93.612,Yes,Old
INUV_017,-133.5352591,68.70275473,OtherTeams_2019,,82.319,Yes,Old
INUV_018,-133.5344463,68.70282685,OtherTeams_2019,,76.097,Yes,Old
INUV_019,-133.5311392,68.70376381,OtherTeams_2019,,77.03,Yes,Old
INUV_020,-133.5307694,68.70418885,OtherTeams_2019,,77.875,Yes,Old
INUV_021,-133.5391648,68.70422059,OtherTeams_2019,,129.346,Yes,Old
KENA_0000,-150.5551356,60.5180203,Kovach_2022,"Aug 9, 2022 at 10:07:25 PM",,,NewFlown
KENA_0001,-150.559206,60.523235,Kovach_2022,"Aug 9, 2022 at 10:08:07 PM",,,NewFlown
KENA_0002,-150.1630022,60.4675559,Kovach_2022,"Aug 9, 2022 at 10:08:36 PM",,,NewFlown
KENA_0003,-150.1641564,60.4682489,Kovach_2022,"Aug 9, 2022 at 10:09:35 PM",,,NewFlown
KENA_0004,-150.1647456,60.4688856,Kovach_2022,"Aug 9, 2022 at 10:10:09 PM",,,NewFlown
KING_0000,-156.4596441,58.6730542,Kovach_2022,"Jul 19, 2022 at 8:52:09 PM",,,NewFlown
KING_0001,-156.4603139,58.672199,Kovach_2022,"Jul 19, 2022 at 8:52:45 PM",,,NewFlown
KING_0002,-156.5110194,58.6768728,Kovach_2022,"Jul 19, 2022 at 9:02:39 PM",,,NewFlown
KING_0003,-156.5111929,58.6770113,Kovach_2022,"Jul 19, 2022 at 9:03:20 PM",,,NewFlown
KING_0004,-156.5119315,58.6762056,Kovach_2022,"Jul 19, 2022 at 9:04:44 PM",,,NewFlown
KING_0005,-156.6423058,58.6791438,Kovach_2022,"Jul 19, 2022 at 9:11:55 PM",,,NewFlown
KING_0006,-156.6427069,58.6793799,Kovach_2022,"Jul 19, 2022 at 9:13:23 PM",,,NewFlown
KING_0007,-156.6921237,58.6863805,Kovach_2022,"Jul 20, 2022 at 2:51:59 PM",,,NewFlown
KING_0008,-156.6926598,58.6863977,Kovach_2022,"Jul 20, 2022 at 2:52:26 PM",,,NewFlown
