Sample,t_mean_Carbon,t_mean_d15N,t_mean_Nitrogen,t_mean_Phosphorus,t_std_d15N,t_std_Nitrogen,,,,,,,,,,,,,,,,
ABV_DAWS_0017_GR1,44.91961856,-2.793329896,1.893193421,0.08243244,0.390650403,0.066017121,,,,,,,,,,,,,,,,
ABV_DAWS_0018_GR1,49.39168571,-2.368255764,2.896256306,0.16428486,0.278184847,0.043855078,,,,,,,,,,,,,,,,
ABV_DAWS_0019_CA1,49.7466923,-3.288597135,2.761383351,0.205466053,0.324462547,0.042461762,,,,,,,,,,,,,,,,
ABV_DAWS_0019_GR1,47.89342524,-1.791332141,2.871375822,0.269985367,0.427390617,0.070402229,,,,,,,,,,,,,,,,
ABV_DAWS_0020_CA1,49.28459649,-2.107837225,3.143388602,0.246066245,0.343486961,0.046815563,,,,,,,,,,,,,,,,
ABV_DAWS_0021_CA1,49.73785951,-2.672042904,3.269311303,0.193604142,0.371685169,0.06954293,,,,,,,,,,,,,,,,
ABV_DEAD_0000_GR1,49.97202897,-3.145348799,2.48007421,0.141413105,0.258518492,0.051698773,,,,,,,,,,,,,,,,
ABV_DEAD_0000_GR1_Moss,43.31632909,-5.84262105,0.220913665,0.029916946,0.874047387,0.123634142,,,,,,,,,,,,,,,,
ABV_DEAD_0001_GR1,47.78004594,-1.374749829,2.722789045,0.140133468,0.310763375,0.051437119,,,,,,,,,,,,,,,,
ABV_DEAD_0002_CA1,52.17767533,-1.828032022,2.676218518,0.181484724,0.325072967,0.043434634,,,,,,,,,,,,,,,,
ABV_DEAD_0002_GR1,49.95715781,-3.052405886,2.351984051,0.188595682,0.389754222,0.057778819,,,,,,,,,,,,,,,,
ABV_DEAD_0003_CA1,50.02893505,-2.766574044,3.432617667,0.268696525,0.35041689,0.036506353,,,,,,,,,,,,,,,,
ABV_DEAD_0003_UN1,51.99183358,-1.621966712,2.985559931,0.230318837,0.411932988,0.059409111,,,,,,,,,,,,,,,,
ABV_DEAD_0004_CA1,49.14877225,-3.224298116,2.920769676,0.231546669,0.310029425,0.030933974,,,,,,,,,,,,,,,,
ABV_DEAD_0005_GR1,44.37246096,-2.798216744,2.555535607,0.196990828,0.456778393,0.073855925,,,,,,,,,,,,,,,,
ABV_DEAD_0006_GR1,46.09580486,-2.445689073,2.613064573,0.195490481,0.566952226,0.0767697,,,,,,,,,,,,,,,,
ABV_DEAD_0006_GR2,50.83845152,-2.911298688,2.526568914,0.18383499,0.384311108,0.052066276,,,,,,,,,,,,,,,,
ABV_DEAD_0007_GR1,52.00899225,-2.130056434,2.35606726,0.174424751,0.33540409,0.053885386,,,,,,,,,,,,,,,,
ABV_DEAD_0007_GR1_Lichen,40.44025052,-5.989045521,0.181418458,0.058320941,0.777287657,0.110072128,,,,,,,,,,,,,,,,
ABV_DEAD_0008_GR1,51.03019336,-3.649444442,2.40754284,0.134382463,0.249622313,0.043494392,,,,,,,,,,,,,,,,
